VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080.0,3811251.600000111,142049.0,5101919.510000559,672819.3099998693,260999.2000000145,68601.68000000001,1290667.9100004476,25.297692514955152,0.9791080783016267,1.338646734841754
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038.0,3804041.2199999536,160247.0,4819073.490000401,561512.3699999085,294438.6600000097,144929.24,1015032.270000447,21.062809523586715,0.9768895012131336,1.2668299871893762
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407.0,3418303.680000034,187140.0,4538120.600000365,461140.1499998849,343854.07000000787,123780.21999999997,1119816.9200003305,24.67578583081817,0.9985752933454993,1.3275943347433425
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682.0,3261197.94000002,200412.0,4475972.880000464,420050.0099998967,368242.8000000149,257032.07000000007,1214774.9400004437,27.13990840803124,0.9937029581221923,1.3724934709116234
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109.0,3023206.0099999965,135838.0,4223107.620000436,545778.2799998876,249587.83000001253,257032.07000000007,1199901.6100004395,28.412764200414,0.9835564662693959,1.3968970708683002
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809.0,2466635.930000039,141860.0,3383912.4000005093,446932.08999989054,111699.18999999705,89286.26999999999,917276.4700004705,27.10698036983264,1.0219798428055817,1.3718734730343671
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783.0,2177285.0800000825,69627.0,2773367.729999988,614529.3399998964,127931.66999998408,123780.21999999997,596082.6499999054,21.493098212399982,0.9836683949535906,1.2737733590678364
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386.0,2088334.8399999859,148265.0,2592041.349999925,292586.2899999302,272422.6000000083,257032.07000000007,503706.50999993924,19.43281151745337,0.9186980283295949,1.2412000701956123
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835.0,1903739.5499999446,90481.0,2640491.190000111,503661.01999988995,166244.44000000262,257032.07000000007,736751.6400001661,27.902067720973356,0.9852561659498013,1.3870023291790032
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866.0,1773427.139999997,107061.0,2435393.38999984,426902.77999989083,196707.35000000568,123880.96999999999,661966.2499998428,27.18108099980867,0.9834199842007606,1.373269493326827
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205.0,1530426.1000000215,91247.0,2148965.5299997157,436011.6399998929,71840.57000000637,123780.21999999997,618539.4299996942,28.783124780962684,0.9789925433184915,1.4041615795755742
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942.0,1498161.9600000305,61433.0,1840615.669999787,442856.1999999129,112875.18999998401,257032.07000000007,342453.7099997564,18.605389249989166,0.917704878850348,1.2285825692702472
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001.0,1478001.420000022,70122.0,2189368.779999833,495957.82999989664,128839.07999998711,89286.26999999999,711367.359999811,32.491892937281456,1.0162461413602701,1.4813035700600345
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668.0,1460072.3599999887,214238.0,2326007.779999907,189608.95999997697,24083.770000001787,17587.59,865935.4199999184,37.22839740458448,0.9933694382105829,1.5930770581808187
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951.0,1452173.3099999838,41639.0,2009508.6099997887,662320.0399999034,32783.0900000035,68054.70000000003,557335.2999998049,27.73490480341179,0.9694535633629019,1.3837939288388459
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596.0,1414552.9200000092,28372.0,1739044.279999906,507291.4299999482,52133.71999999593,257032.07000000007,324491.3599998967,18.659177556992066,0.897961767312318,1.229394994992407
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645.0,1399080.1500000013,59771.0,1844950.2899997348,504735.05999989586,109817.0699999855,123780.21999999997,445870.13999973354,24.167054387129188,0.9855882595432435,1.3186880608660863
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249.0,1396130.770000004,65184.0,2068091.159999784,494487.6499999042,119767.48999998723,257032.07000000007,671960.3899997801,32.49181675337031,1.0145527556849134,1.4813018983886288
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546.0,1373128.4800000344,47966.0,1884307.3399997673,596574.929999897,88129.79999998568,257032.07000000007,511178.8599997328,27.128210411779,1.0088335506667228,1.3722731466466416
